id,word_count,title_ep,imdb_rating,season_num,episode_num,description,num_ratings,air_date,num_char
S1e1,3451,Death Has a Shadow,7.7,S1,1,"
After drinking too much at a stag party and falling asleep at work, Peter loses his job, signs up for welfare, and gets more money than expected.",3955,1999-01-31,56
S1e2,3162,I Never Met the Dead Man,7.5,S1,2,"
Peter goes into shock after he disables the entire Quahog cable system while giving Meg driving lessons; Stewie plots to rid the world of broccoli.",2983,1999-04-11,43
S1e3,3256,Chitty Chitty Death Bang,7.6,S1,3,"
Peter tries to make the best of a bad situation after he ruins Lois's plans for Stewie's birthday party; Meg's new friend tries to recruit her into a cult.",2830,1999-04-18,41
S1e4,3080,Mind Over Murder,7.4,S1,4,"
Under house arrest, Peter transforms the basement into a bar, where Lois' singing becomes the main attraction.",2663,1999-04-25,35
S1e5,3450,A Hero Sits Next Door,7.4,S1,5,"
Peter becomes very jealous, when his handi-capable new neighbor turns out to be the new star player on the toy company's softball team.",2583,1999-05-02,69
S1e6,3217,The Son Also Draws,7.2,S1,6,"
A chance encounter with a prune smoothie puts in motion a series of events that ultimately allows Peter to accept Chris' artistic side.",2494,1999-05-09,23
S1e7,2886,Brian: Portrait of a Dog,7.5,S1,7,"
Brian's life is on the line after he refuses to be treated like a dog.",2534,1999-05-16,30
S2e1,3104,"Peter, Peter, Caviar Eater",7.6,S2,1,"
Peter changes for the worse after he and Lois inherit a mansion in Newport.",2436,1999-09-23,NA
S2e2,3293,Holy Crap,7.3,S2,2,"
Peter seeks divine inspiration when his retired father comes to visit and makes life troublesome; Chris suffers a gastrointestinal impasse.",2298,1999-09-30,NA
S2e3,2560,Da Boom,8.1,S2,3,"
Peter's paranoia about the end of the world makes the family cancel their New Year's Eve '99 plans, but for once, Peter is actually somewhat right.",2787,1999-12-26,NA
S2e4,2724,Brian in Love,7.4,S2,4,"
Brian turns to a therapist after his unrequited love for Lois causes him to lose control of his bladder.",2232,2000-03-07,NA
S2e5,3189,Love Thy Trophy,7.7,S2,5,"
Everyone on Spooner Street becomes enemies when a trophy they all won mysteriously goes missing; Meg makes extra tips as a waitress by telling everyone she's Stewie's teenage mother.",2222,2000-03-14,NA
S2e6,3253,Death Is a Bitch,8.2,S2,6,"
Death pays a visit to the Griffins after Peter fakes his death on an insurance form to avoid paying a hefty hospital bill.",2570,2000-03-21,NA
S2e7,3204,The King Is Dead,7.3,S2,7,"
Lois becomes the director of the Quahog Player's Theatre, until Peter becomes producer and changes everything.",2119,2000-03-28,NA
S3e1,2796,The Thin White Line,8,S3,1,"
Brian becomes a drug-sniffing dog for police to get out of a rut after taking the advice of his therapist, but the cocaine may be more than he can handle.",2093,2001-07-11,NA
S3e2,2989,Brian Does Hollywood,7.6,S3,2,"
When Brian leaves the family for Hollywood with dreams of becoming a screenwriter and director, he winds up directing a porn video.",1991,2001-07-18,NA
S3e3,2800,Mr. Griffin Goes to Washington,7.5,S3,3,"
After the toy company is taken over by a tobacco company, Peter is set up as the president and is sent to Washington to lobby against a bill.",1878,2001-07-25,NA
S3e4,2936,"One If by Clam, Two If by Sea",7.6,S3,4,"
When a hurricane destroys The Drunken Clam, it is bought by a British man who turns it into an English pub to the dismay of Peter and the gang.",1900,2001-08-01,NA
S3e5,2563,And the Wiener Is...,7.6,S3,5,"
Peter becomes jealous of Chris' very large endowment.",1840,2001-08-08,NA
S3e6,2944,Death Lives,8,S3,6,"
Peter dies again, and Death shows him the errors of his ways.",1923,2001-08-15,NA
S3e7,2836,Lethal Weapons,7.3,S3,7,"
Lois takes Tae-Jitsu, quickly becomes a black-belt and scares away all of the frustrating New Yorkers that had come to Quahog to view the leaves.",1964,2001-08-22,NA
S4e1,2807,North by North Quahog,7.7,S4,1,"
Peter and Lois try for a second honeymoon, but things go awry when he poses as Mel Gibson.",2017,2005-05-01,NA
S4e2,2886,Fast Times at Buddy Cianci Jr. High,7.5,S4,2,"
Chris gets seduced by his new homicidal English teacher; Brian becomes a substitute teacher to a class of thugs.",1808,2005-05-08,NA
S4e3,2367,Blind Ambition,7.5,S4,3,"
Peter's desire to become famous for something causes him to go blind.",1742,2005-05-15,NA
S4e4,2727,Don't Make Me Over,7.4,S4,4,"
After a makeover, Meg becomes an insufferable starlet.",1788,2005-06-05,NA
S4e5,3077,The Cleveland-Loretta Quagmire,7.6,S4,5,"
Cleveland's wife Loretta has an affair with Quagmire.",1792,2005-06-12,NA
S4e6,3223,Petarded,8.2,S4,6,"
After winning at the children's edition of trivial pursuit, Peter thinks he's a genius until testing proves that he's actually intellectually disabled.",2276,2005-06-19,NA
S4e7,2952,Brian the Bachelor,7.4,S4,7,"
Brian takes part in ""The Bachelorette""; Chris takes advice from his talking pimple.",1740,2005-06-26,NA
S5e1,2961,Stewie Loves Lois,8.2,S5,1,"
After she saves Rupert, Stewie smothers Lois with affection; After his first prostate exam, Peter sues Dr. Hartman for sexual harassment.",2026,2006-09-10,NA
S5e2,3330,Mother Tucker,7.4,S5,2,"
Peter's mom starts dating Tom Tucker; Brian and Stewie host their own raunchy radio program.",1662,2006-09-17,NA
S5e3,2962,Hell Comes to Quahog,7.5,S5,3,"
Meg takes a job at a new superstore, which causes Peter to lose his job and the town's electricity.",1611,2006-09-24,NA
S5e4,3448,Saving Private Brian,7.6,S5,4,"
Stewie and Brian join the army and are sent to Iraq; Chris becomes the lead singer of a rock band.",1774,2006-11-05,NA
S5e5,3313,Whistle While Your Wife Works,7.7,S5,5,"
Lois does Peter's work while he recovers from losing his fingers in an accident; Brian begins dating an unintelligent woman, much to Stewie's delight.",1644,2006-11-12,NA
S5e6,3224,Prick Up Your Ears,7.3,S5,6,"
Lois becomes the school's sex ed teacher, but is fired for having ""radical"" views; Stewie attempts to kill the Tooth Fairy.",1597,2006-11-19,NA
S5e7,3514,Chick Cancer,7.4,S5,7,"
Stewie tries to win over retired child actress Olivia; Peter makes his own chick flick.",1616,2006-11-26,NA
S6e1,4585,Blue Harvest,8.2,S6,1,"
With the Griffins stuck at home during a blackout, Peter tells the story of Star Wars Episode IV: A New Hope.",7667,2007-09-23,NA
S6e2,3075,Movin' Out (Brian's Song),7.2,S6,2,"
Brian moves in with Jillian, but Stewie moves in to to help pay the rent. Meg and Chris both get jobs at the local convenience store.",1600,2007-09-30,NA
S6e3,2978,"Believe It or Not, Joe's Walking on Air",7.4,S6,3,"
Joe gets a leg transplant to allow him to walk again, only for his new legs to make him abandon Bonnie and the guys.",1617,2007-10-07,NA
S6e4,3232,Stewie Kills Lois,8.3,S6,4,"
Stewie kills Lois, and one year after her disappearance, Peter is charged with her death.",2230,2007-11-04,NA
S6e5,3309,Lois Kills Stewie,8.3,S6,5,"
With Lois back in Quahog, Stewie escapes with Brian to Washington, D.C. and sets out to initiate his latest plan for world domination.",2184,2007-11-11,NA
S6e6,3226,Padre de Familia,6.9,S6,6,"
Peter discovers that he is an illegal Mexican immigrant, so he is forced to take a job as a day laborer for Lois's father.",1569,2007-11-18,NA
S6e7,3470,Peter's Daughter,7.3,S6,7,"
When Meg awakens from a coma, Peter vows to treat her better than before, but doesn't approve of her dating an attractive doctor.",1546,2007-11-25,NA
S7e1,3027,Love Blactually,6.8,S7,1,"
Stewie convinces Brian to take it slow with his new girlfriend, but she becomes impatient and hooks up with Cleveland. Brian then tries to get Cleveland back together with his ex-wife Loretta to get him out of the picture.",1678,2008-09-28,NA
S7e2,3433,I Dream of Jesus,8,S7,2,"
Peter rediscovers his favorite song, ""Surfin' Bird"" by the Trashmen, and discovers that Jesus Christ is working at a used record store in Quahog, and sets out to let everyone know that he has come back.",2347,2008-10-05,NA
S7e3,2496,Road to Germany,8.1,S7,3,"
Stewie and Brian use a time machine to go back to Nazi-era Poland and rescue Mort.",2089,2008-10-19,NA
S7e4,2985,Baby Not on Board,7.5,S7,4,"
The Griffins decide to take a vacation to the Grand Canyon, only to leave Stewie behind.",1632,2008-11-02,NA
S7e5,3154,The Man with Two Brians,7.6,S7,5,"
Peter gets the Griffins a new, younger dog to eventually replace an aging Brian.",1613,2008-11-09,NA
S7e6,2931,Tales of a Third Grade Nothing,7.1,S7,6,"
Peter must pass the third grade in order to get a promotion at the brewery; Stewie turns Brian and Frank Sinatra Jr.'s nightclub into a trendy hotspot.",1715,2008-11-16,NA
S7e7,2662,Ocean's Three and a Half,7.6,S7,7,"
The guys try to help Joe and Bonnie get money for their hospital bill after their baby is born after seven year of Bonnie being pregnant, a baby who Stewie develops a crush on.",1649,2009-02-15,NA
S8e1,2969,Road to the Multiverse,9.1,S8,1,"
Brian and Stewie explore a series of alternate universes.",4130,2009-09-27,NA
S8e2,3357,Family Goy,7.1,S8,2,"
When Lois finds out her mother was a Holocaust survivor, Peter decides to adopt the Jewish faith.",1595,2009-10-04,NA
S8e3,3171,Spies Reminiscent of Us,6.8,S8,3,"
With the help of Chevy Chase and Dan Aykroyd, Stewie and Brian discover that Mayor West is a Cold War sleeper agent; Peter and the guys start an improv group.",1539,2009-10-11,NA
S8e4,3236,Brian's Got a Brand New Bag,7.2,S8,4,"
Brian becomes the laughing stock of the family when he begins dating an older woman, but things get worse when she breaks her hip and he has to be her errand-boy.",1496,2009-11-08,NA
S8e5,3024,Hannah Banana,7.1,S8,5,"
Brian helps Stewie meet Miley Cyrus, only to discover a secret about her identity; The family discovers that the evil monkey in Chris's closet isn't actually evil.",1513,2009-11-08,NA
S8e6,3386,Quagmire's Baby,7.2,S8,6,"
Quagmire is forced to take care of a baby he fathered when she is left on his doorstep, while Stewie creates clones of himself and Brian.",1483,2009-11-15,NA
S8e7,3531,Jerome Is the New Black,7.1,S8,7,"
The guys find a new black friend to join their group, until Peter finds out that he slept with Lois. Meanwhile, Brian tries to find out why Quagmire hates him and tries to make amends.",1487,2009-11-22,NA
S9e1,6999,And Then There Were Fewer,8.6,S9,1,"
The residents of Quahog are invited to James Woods' house, where a murder mystery takes place.",3220,2010-09-26,NA
S9e2,3115,Excellence in Broadcasting,6.5,S9,2,"
Brian does a 180 on Rush Limbaugh and befriends him after he reads one of his books.",1671,2010-10-03,NA
S9e3,3211,Welcome Back Carter,7,S9,3,"
After Peter catches Carter having an affair, he is strong-armed into keeping a secret, until he accidentally spills the beans.",1399,2010-10-10,NA
S9e4,3034,Halloween on Spooner Street,7.9,S9,4,"
Peter and Joe team up to execute Halloween pranks on Quagmire; Brian shows Stewie the ropes of trick-or-treating; Meg sets out to attend her first high school Halloween party.",1723,2010-11-07,NA
S9e5,2850,"Baby, You Knock Me Out",7.1,S9,5,"
Lois becomes a champion foxy boxer, and Peter acts as her manager.",1484,2010-11-14,NA
S9e6,4031,Brian Writes a Bestseller,7,S9,6,"
Brian's self-help book becomes a best-seller after Stewie becomes his manager; Lois decides that she and Peter need separate beds, leaving him to look for a new cuddle buddy.",1604,2010-11-21,NA
S9e7,5629,Road to the North Pole,8.2,S9,7,"
Disappointed with the Mall Santa, Stewie and Brian decide to go up to the North Pole to teach Santa a lesson, only to face a shocking revelation.",2337,2010-12-12,NA
