title_ep,imdb_rating,season_num,episode_num,description,num_ratings,air_date
Death Has a Shadow,7.7,S1,1,"
After drinking too much at a stag party and falling asleep at work, Peter loses his job, signs up for welfare, and gets more money than expected.    ",3972,1999-01-31
I Never Met the Dead Man,7.5,S1,2,"
Peter goes into shock after he disables the entire Quahog cable system while giving Meg driving lessons; Stewie plots to rid the world of broccoli.    ",3000,1999-04-11
Chitty Chitty Death Bang,7.6,S1,3,"
Peter tries to make the best of a bad situation after he ruins Lois's plans for Stewie's birthday party; Meg's new friend tries to recruit her into a cult.    ",2849,1999-04-18
Mind Over Murder,7.4,S1,4,"
Under house arrest, Peter transforms the basement into a bar, where Lois' singing becomes the main attraction.    ",2679,1999-04-25
A Hero Sits Next Door,7.4,S1,5,"
Peter becomes very jealous, when his handi-capable new neighbor turns out to be the new star player on the toy company's softball team.    ",2599,1999-05-02
The Son Also Draws,7.2,S1,6,"
A chance encounter with a prune smoothie puts in motion a series of events that ultimately allows Peter to accept Chris' artistic side.    ",2510,1999-05-09
Brian: Portrait of a Dog,7.5,S1,7,"
Brian's life is on the line after he refuses to be treated like a dog.    ",2548,1999-05-16
"Peter, Peter, Caviar Eater",7.6,S2,1,"
Peter changes for the worse after he and Lois inherit a mansion in Newport.    ",2447,1999-09-23
Holy Crap,7.3,S2,2,"
Peter seeks divine inspiration when his retired father comes to visit and makes life troublesome; Chris suffers a gastrointestinal impasse.    ",2308,1999-09-30
Da Boom,8.1,S2,3,"
Peter's paranoia about the end of the world makes the family cancel their New Year's Eve '99 plans, but for once, Peter is actually somewhat right.    ",2799,1999-12-26
Brian in Love,7.4,S2,4,"
Brian turns to a therapist after his unrequited love for Lois causes him to lose control of his bladder.    ",2242,2000-03-07
Love Thy Trophy,7.7,S2,5,"
Everyone on Spooner Street becomes enemies when a trophy they all won mysteriously goes missing; Meg makes extra tips as a waitress by telling everyone she's Stewie's teenage mother.    ",2231,2000-03-14
Death Is a Bitch,8.2,S2,6,"
Death pays a visit to the Griffins after Peter fakes his death on an insurance form to avoid paying a hefty hospital bill.    ",2584,2000-03-21
The King Is Dead,7.3,S2,7,"
Lois becomes the director of the Quahog Player's Theatre, until Peter becomes producer and changes everything.    ",2130,2000-03-28
The Thin White Line,8.0,S3,1,"
Brian becomes a drug-sniffing dog for police to get out of a rut after taking the advice of his therapist, but the cocaine may be more than he can handle.    ",2100,2001-07-11
Brian Does Hollywood,7.6,S3,2,"
When Brian leaves the family for Hollywood with dreams of becoming a screenwriter and director, he winds up directing a porn video.    ",1999,2001-07-18
Mr. Griffin Goes to Washington,7.5,S3,3,"
After the toy company is taken over by a tobacco company, Peter is set up as the president and is sent to Washington to lobby against a bill.    ",1889,2001-07-25
"One If by Clam, Two If by Sea",7.6,S3,4,"
When a hurricane destroys The Drunken Clam, it is bought by a British man who turns it into an English pub to the dismay of Peter and the gang.    ",1909,2001-08-01
And the Wiener Is...,7.6,S3,5,"
Peter becomes jealous of Chris' very large endowment.    ",1846,2001-08-08
Death Lives,8.0,S3,6,"
Peter dies again, and Death shows him the errors of his ways.    ",1928,2001-08-15
Lethal Weapons,7.3,S3,7,"
Lois takes Tae-Jitsu, quickly becomes a black-belt and scares away all of the frustrating New Yorkers that had come to Quahog to view the leaves.    ",1970,2001-08-22
North by North Quahog,7.7,S4,1,"
Peter and Lois try for a second honeymoon, but things go awry when he poses as Mel Gibson.    ",2027,2005-05-01
Fast Times at Buddy Cianci Jr. High,7.5,S4,2,"
Chris gets seduced by his new homicidal English teacher; Brian becomes a substitute teacher to a class of thugs.    ",1820,2005-05-08
Blind Ambition,7.5,S4,3,"
Peter's desire to become famous for something causes him to go blind.    ",1753,2005-05-15
Don't Make Me Over,7.4,S4,4,"
After a makeover, Meg becomes an insufferable starlet.    ",1799,2005-06-05
The Cleveland-Loretta Quagmire,7.6,S4,5,"
Cleveland's wife Loretta has an affair with Quagmire.    ",1802,2005-06-12
